LabVIEW Measurement,
2808.986765,-0.005264
2830.429412,0.006526
2851.872059,0.002702
2873.314706,0.002065
2894.757353,0.004295
2916.200000,0.015767
2937.642647,-0.005901
2959.085294,-0.007813
2980.527941,0.000790
3001.970588,-0.013231
3023.413235,-0.002396
3044.855882,-0.000484
3066.298529,-0.000484
3087.741176,-0.002396
3109.183824,-0.006220
3130.626471,-0.005583
3152.069118,0.005570
3173.511765,-0.007813
3194.954412,-0.030756
3216.397059,-0.004308
3237.839706,0.003977
3259.282353,0.023415
3280.725000,-0.003034
3302.167647,-0.002396
3323.610294,-0.004946
3345.052941,0.014811
3366.495588,0.002065
3387.938235,0.006845
3409.380882,0.003658
3430.823529,-0.005583
3452.266176,0.009394
3473.708824,0.000790
3495.151471,-0.003990
3516.594118,-0.024702
3538.036765,-0.009407
3559.479412,0.003021
3580.922059,-0.001759
3602.364706,-0.012912
3623.807353,-0.001440
3645.250000,0.004614
3666.692647,0.008757
3688.135294,0.008757
3709.577941,-0.001122
3731.020588,0.007801
3752.463235,0.018953
3773.905882,-0.018329
3795.348529,-0.008769
3816.791176,0.004295
3838.233824,-0.002396
3859.676471,0.019909
3881.119118,-0.006220
3902.561765,-0.018648
3924.004412,-0.017373
3945.447059,0.008119
3966.889706,0.032974
3988.332353,-0.097992
4009.775000,-0.018010
4031.217647,-0.005583
4052.660294,0.013855
4074.102941,-0.000484
4095.545588,0.031062
4116.988235,0.010031
4138.430882,0.014492
4159.873529,-0.004627
4181.316176,0.009075
4202.758824,-0.001759
4224.201471,-0.028207
4245.644118,0.003977
4267.086765,-0.003671
4288.529412,0.030744
4309.972059,0.003021
4331.414706,-0.013868
4352.857353,-0.005264
4374.300000,-0.021834
4395.742647,-0.000166
4417.185294,0.006207
4438.627941,0.012262
4460.070588,-0.032668
4481.513235,-0.005583
4502.955882,0.002383
4524.398529,-0.021197
4545.841176,-0.007813
4567.283824,0.006845
4588.726471,0.035523
4610.169118,0.061972
4631.611765,-0.034262
4653.054412,0.001746
4674.497059,0.047314
4695.939706,0.025008
4717.382353,-0.023746
4738.825000,0.011306
4760.267647,0.083640
4781.710294,-0.002396
4803.152941,0.016404
4824.595588,0.047951
4846.038235,0.043171
4867.480882,-0.032350
4888.923529,-0.040635
4910.366176,0.313389
4931.808824,-0.045096
4953.251471,-0.000803
4974.694118,-0.001440
4996.136765,0.033930
5017.579412,0.059422
5039.022059,-0.051469
5060.464706,0.039029
5081.907353,0.049225
5103.350000,0.001109
5124.792647,-0.035536
5146.235294,0.026920
5167.677941,-0.146746
5189.120588,-0.018329
5210.563235,-0.021197
5232.005882,-0.003671
5253.448529,-0.018966
5274.891176,-0.093531
5296.333824,0.015767
5317.776471,0.024371
5339.219118,0.032018
5360.661765,0.091925
5382.104412,0.003977
5403.547059,-0.006220
5424.989706,0.014811
5446.432353,-0.055293
5467.875000,0.007482
5489.317647,-0.015142
5510.760294,-0.023427
5532.202941,0.013218
5553.645588,-0.157262
5575.088235,0.022459
5596.530882,-0.027570
5617.973529,-0.046052
5639.416176,0.100210
5660.858824,0.002065
5682.301471,0.070257
5703.744118,0.022140
5725.186765,-0.004946
5746.629412,0.000790
5768.072059,0.074080
5789.514706,0.036161
5810.957353,-0.525625
5832.400000,0.029788
5853.842647,0.006526
5875.285294,-0.423656
5896.727941,-0.027251
5918.170588,-0.026614
5939.613235,-0.007813
5961.055882,-0.276119
5982.498529,0.205365
6003.941176,0.030744
6025.383824,-0.045414
6046.826471,0.038073
6068.269118,-0.062303
6089.711765,0.042534
6111.154412,0.000472
6132.597059,-0.063896
6154.039706,-0.400394
6175.482353,0.110407
6196.925000,0.064202
6218.367647,-0.062303
6239.810294,-0.868814
6261.252941,-0.081104
6282.695588,-0.074731
6304.138235,0.023096
6325.580882,0.082684
6347.023529,-0.145790
6368.466176,-0.015142
6389.908824,-0.016417
6411.351471,-0.090663
6432.794118,-0.044777
6454.236765,0.041578
6475.679412,-0.020560
6497.122059,-0.014824
6518.564706,0.177643
6540.007353,0.029150
6561.450000,0.078860
6582.892647,-0.267516
6604.335294,0.067389
6625.777941,-0.068995
6647.220588,0.092562
6668.663235,0.062928
6690.105882,0.032018
6711.548529,0.024689
6732.991176,0.078223
6754.433824,0.074080
6775.876471,-0.149933
6797.319118,-0.076324
6818.761765,-0.029163
6840.204412,-0.099585
6861.647059,-0.047326
6883.089706,0.740384
6904.532353,0.185290
6925.975000,0.051775
6947.417647,0.102759
6968.860294,-0.718091
6990.302941,-0.084927
7011.745588,0.091925
7033.188235,-0.052425
7054.630882,-0.329972
7076.073529,-0.128583
7097.516176,0.063246
7118.958824,-0.058798
7140.401471,-0.893987
7161.844118,0.041896
7183.286765,-0.008769
7204.729412,0.180192
7226.172059,0.071213
7247.614706,-0.161723
7269.057353,-0.003352
7290.500000,-0.090982
7311.942647,0.385723
7333.385294,-0.304161
7354.827941,-0.091300
7376.270588,0.006526
7397.713235,-0.058479
7419.155882,0.268777
7440.598529,0.092881
7462.041176,-0.036811
7483.483824,-0.104047
7504.926471,-0.194544
7526.369118,0.054961
7547.811765,0.062928
7569.254412,-0.028845
7590.697059,0.474309
7612.139706,0.228308
7633.582353,-0.106277
7655.025000,0.124109
7676.467647,1.301532
7697.910294,-0.139736
7719.352941,0.014174
7740.795588,0.029469
7762.238235,-0.268153
7783.680882,-0.035855
7805.123529,-0.036492
7826.566176,-0.132407
7848.008824,0.749943
7869.451471,-0.938280
7890.894118,-0.012912
7912.336765,-0.082697
7933.779412,-0.509692
7955.222059,0.453596
7976.664706,0.165534
7998.107353,-0.029482
8019.550000,0.364373
8040.992647,0.165215
8062.435294,0.000790
8083.877941,-0.213663
8105.320588,0.576915
8126.763235,-0.063259
8148.205882,-0.008769
8169.648529,0.293951
8191.091176,0.304785
8212.533824,-0.086521
8233.976471,0.129526
8255.419118,0.688762
8276.861765,0.255713
8298.304412,0.059104
8319.747059,0.102759
8341.189706,-0.867539
8362.632353,0.010350
8384.075000,-0.112969
8405.517647,-0.144197
8426.960294,0.164897
8448.402941,-0.083971
8469.845588,-0.115199
8491.288235,0.750262
8512.730882,0.132713
8534.173529,-0.024383
8555.616176,0.183378
8577.058824,0.764283
8598.501471,-0.105321
8619.944118,-0.122210
8641.386765,-0.207290
8662.829412,-0.440226
8684.272059,0.089376
8705.714706,0.046358
8727.157353,-0.273570
8748.600000,0.227990
8770.042647,-0.169689
8791.485294,-0.124759
8812.927941,1.416247
8834.370588,-0.057523
8855.813235,-0.143560
8877.255882,-0.041591
8898.698529,0.266865
8920.141176,-0.147065
8941.583824,-0.063578
8963.026471,0.166171
8984.469118,0.094156
9005.911765,0.175731
9027.354412,-0.280899
9048.797059,0.410897
9070.239706,0.033611
9091.682353,0.278337
9113.125000,-0.136868
9134.567647,-0.220992
9156.010294,0.134306
9177.452941,0.139404
9198.895588,-0.057205
9220.338235,-0.152163
9241.780882,0.143547
9263.223529,0.834705
9284.666176,0.460925
9306.108824,-0.044777
9327.551471,0.214925
9348.994118,-1.461508
9370.436765,0.144821
9391.879412,-0.020878
9413.322059,-0.164591
9434.764706,-0.632692
9456.207353,-0.024065
9477.650000,-0.127627
9499.092647,-0.390197
9520.535294,1.185861
9541.977941,-0.027570
9563.420588,-0.095762
9584.863235,1.581628
9606.305882,-0.171282
9627.748529,-0.166503
9649.191176,0.036798
9670.633824,0.847770
9692.076471,-0.003034
9713.519118,0.088101
9734.961765,0.014811
9756.404412,0.047314
9777.847059,-0.018010
9799.289706,0.068663
9820.732353,0.102122
9842.175000,1.251822
9863.617647,0.116780
9885.060294,0.058785
9906.502941,-0.234057
9927.945588,0.234682
9949.388235,-0.142285
9970.830882,-0.083971
9992.273529,0.523700
10013.716176,0.047632
10035.158824,-0.029800
10056.601471,-0.134637
10078.044118,1.384063
10099.486765,0.103396
10120.929412,-0.139417
10142.372059,0.192938
10163.814706,-1.016031
10185.257353,0.178599
10206.700000,-0.089707
10228.142647,0.203772
10249.585294,-0.455840
10271.027941,-0.235013
10292.470588,0.046995
10313.913235,-0.085565
10335.355882,-1.122780
10356.798529,-0.167777
10378.241176,0.070257
10399.683824,0.388910
10421.126471,0.528161
10442.569118,-0.273251
10464.011765,0.044764
10485.454412,-0.109464
10506.897059,0.190389
10528.339706,-0.026614
10549.782353,0.075036
10571.225000,-0.275163
10592.667647,-0.599233
10614.110294,0.021503
10635.552941,0.206003
10656.995588,0.395283
10678.438235,0.111363
10699.880882,-0.119661
10721.323529,-0.095443
10742.766176,-0.279306
10764.208824,0.158842
10785.651471,-0.192951
10807.094118,1.541796
10828.536765,-0.202192
10849.979412,0.125065
10871.422059,0.348441
10892.864706,-1.537029
10914.307353,0.374252
10935.750000,0.030744
10957.192647,-0.114881
10978.635294,0.364373
11000.077941,0.131757
11021.520588,-0.230233
11042.963235,-1.468837
11064.405882,0.466024
11085.848529,0.143865
11107.291176,0.162029
11128.733824,0.618340
11150.176471,-0.085246
11171.619118,-0.199005
11193.061765,-0.105003
11214.504412,-0.159174
11235.947059,-0.159492
11257.389706,-0.191995
11278.832353,-0.517021
11300.275000,0.005251
11321.717647,0.097979
11343.160294,0.180192
11364.602941,1.073376
11386.045588,0.258899
11407.488235,-0.173194
11428.930882,-0.050832
11450.373529,-0.292052
11471.816176,0.030425
11493.258824,-0.238200
11514.701471,-0.290140
11536.144118,-1.326718
11557.586765,0.090332
11579.029412,0.222891
11600.472059,0.596671
11621.914706,-0.541876
11643.357353,-0.107233
11664.800000,-0.161404
11686.242647,0.996900
11707.685294,-0.363112
11729.127941,-0.200280
11750.570588,-0.161086
11772.013235,-0.287272
11793.455882,-0.119023
11814.898529,0.088101
11836.341176,-0.040316
11857.783824,-0.106596
11879.226471,1.588001
11900.669118,-0.701521
11922.111765,-0.092894
11943.554412,0.208871
11964.997059,0.378713
11986.439706,-0.267516
12007.882353,0.323904
12029.325000,0.062290
12050.767647,-0.043503
12072.210294,0.514778
12093.652941,0.043808
12115.095588,0.144503
12136.538235,-0.058479
12157.980882,-0.081422
12179.423529,-0.033943
12200.866176,0.223210
12222.308824,1.426125
12243.751471,-0.366617
12265.194118,0.065477
12286.636765,-0.062940
12308.079412,-0.707575
12329.522059,-0.169689
12350.964706,-0.027251
12372.407353,-0.016417
12393.850000,0.269096
12415.292647,0.200904
12436.735294,-0.067083
12458.177941,-0.044777
12479.620588,1.826672
12501.063235,-0.091619
12522.505882,0.002702
12543.948529,0.424599
12565.391176,-0.589036
12586.833824,-0.352915
12608.276471,-0.077598
12629.719118,0.221935
12651.161765,-0.315951
12672.604412,-0.126034
12694.047059,0.235637
12715.489706,0.312433
12736.932353,0.414402
12758.375000,-0.076324
12779.817647,0.046039
12801.260294,1.402863
12822.702941,-0.538052
12844.145588,0.336013
12865.588235,-0.008451
12887.030882,-0.015780
12908.473529,0.317213
12929.916176,0.064202
12951.358824,0.077267
12972.801471,-0.349409
12994.244118,-0.157580
13015.686765,-0.065808
13037.129412,0.104352
13058.572059,-0.090026
13080.014706,-0.161404
13101.457353,0.010031
13122.900000,0.172226
13144.342647,0.136218
13165.785294,0.024689
13187.227941,-0.073137
13208.670588,-0.057523
13230.113235,-0.022153
13251.555882,0.025327
13272.998529,-0.013549
13294.441176,0.176368
13315.883824,-0.093850
13337.326471,0.044764
13358.769118,-0.051788
13380.211765,-0.012275
13401.654412,-0.021197
13423.097059,0.039029
13444.539706,-0.062940
13465.982353,-0.087795
13487.425000,0.033611
13508.867647,-0.019285
13530.310294,0.014811
13551.752941,0.058785
13573.195588,0.128889
13594.638235,-0.026933
13616.080882,0.009075
13637.523529,0.203135
13658.966176,0.012262
13680.408824,0.009394
13701.851471,0.031700
13723.294118,0.123153
13744.736765,-0.005901
13766.179412,-0.018010
13787.622059,-0.009725
13809.064706,-0.016736
13830.507353,-0.008132
13851.950000,-0.004308
13873.392647,0.038710
13894.835294,-0.020878
13916.277941,0.023733
13937.720588,-0.014505
13959.163235,0.027876
13980.605882,-0.069951
14002.048529,0.042534
14023.491176,0.003658
14044.933824,0.023415
14066.376471,-0.047645
14087.819118,-0.002078
14109.261765,-0.004627
14130.704412,0.024689
14152.147059,-0.065490
14173.589706,0.044446
14195.032353,-0.023427
14216.475000,-0.023746
14237.917647,-0.044777
14259.360294,-0.051469
14280.802941,-0.022471
14302.245588,0.009713
14323.688235,0.004614
14345.130882,-0.064534
14366.573529,-0.000803
14388.016176,-0.000484
14409.458824,0.015130
14430.901471,-0.019604
14452.344118,-0.022790
14473.786765,-0.008769
14495.229412,-0.015142
14516.672059,-0.054337
14538.114706,0.105308
14559.557353,-0.016098
